Gene,UniProt ID,Protein name,Protein ChEMBL ID,Drug ChEMBL ID,Drug name,Drug Mechanism ChEMBL,Activity type ChEMBL,Activity value ChEMBL,pChEMBL value,Max phase ChEMBL,Action type ChEMBL,Mechanism of Action ChEMBL
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642262,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642263,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642264,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642265,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1684800,,Нет,IC50,= 2.71 nM,8.57,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1779192,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1779193,,Нет,IC50,= 3.7 nM,8.43,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1779200,,Нет,IC50,= 1.8 nM,8.74,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1779202,,Нет,IC50,= 1.5 nM,8.82,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796242,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796244,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796245,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796253,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796254,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1796257,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1823221,,Нет,IC50,= 2.9 nM,8.54,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1823220,,Нет,IC50,= 2.7 nM,8.57,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1821735,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822519,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822520,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822521,,Нет,IC50,= 3.8 nM,8.42,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822522,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822523,,Нет,IC50,= 8.8 nM,8.06,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822524,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822525,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1822527,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL464552,,Нет,Kd,= 0.55 nM,9.26,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL388978,STAUROSPORINE,Нет,IC50,= 2.36 nM,8.63,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1922974,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1922984,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1940182,,Нет,IC50,= 1.1 nM,8.96,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1940181,,Нет,IC50,= 1.1 nM,8.96,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1940179,,Нет,IC50,= 2.4 nM,8.62,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1940178,,Нет,IC50,= 5.2 nM,8.28,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946614,,Нет,IC50,= 3.1 nM,8.51,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946800,,Нет,IC50,= 3.7 nM,8.43,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946801,,Нет,IC50,= 3.4 nM,8.47,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946802,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946803,,Нет,IC50,= 1.5 nM,8.82,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1946804,,Нет,IC50,= 0.51 nM,9.29,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1947001,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL461876,,Нет,Ki,= 1.259 nM,8.90,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1825138,,Нет,Ki,= 3.162 nM,8.50,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1980995,,Нет,Ki,= 5.012 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL411903,,Нет,Ki,= 3.981 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1967878,CENISERTIB,Нет,Ki,= 10.0 nM,8.00,Phase 2,INHIBITOR,Serine/threonine-protein kinase Aurora inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1971029,,Нет,Ki,= 1.585 nM,8.80,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1993661,,Нет,Ki,= 3.981 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2023990,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042694,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042828,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042830,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042831,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042981,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042982,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2042983,,Нет,IC50,= 2.7 nM,8.57,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2064722,,Нет,IC50,= 3.1 nM,8.51,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2064667,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2064666,,Нет,IC50,= 1.9 nM,8.72,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2064664,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2064663,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158511,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158527,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158515,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158586,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158518,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1934334,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158529,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158526,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158525,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158519,,Нет,IC50,= 4.7 nM,8.33,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158528,,Нет,IC50,= 3.4 nM,8.47,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158530,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2158531,,Нет,IC50,= 2.9 nM,8.54,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172315,,Нет,Kd,= 0.24 nM,9.62,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172308,,Нет,Kd,= 0.36 nM,9.44,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172312,,Нет,IC50,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172311,,Нет,IC50,= 1.6 nM,8.80,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172310,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172307,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172306,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172335,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172334,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172333,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172332,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172331,,Нет,IC50,= 8.0 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172330,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172328,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172325,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172304,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172303,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172302,,Нет,IC50,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172301,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172321,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172320,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172319,,Нет,IC50,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172318,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172317,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172316,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172314,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172313,,Нет,IC50,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172309,,Нет,IC50,= 2.6 nM,8.59,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172305,,Нет,IC50,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172336,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172337,,Нет,IC50,= 8.3 nM,8.08,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172329,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172324,,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172323,,Нет,IC50,= 3.0 nM,8.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2172322,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2403836,,Нет,IC50,= 8.1 nM,8.09,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2418746,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2418763,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2418752,,Нет,IC50,= 5.6 nM,8.25,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3124972,,Нет,Ki,= 1.1 nM,8.96,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128068,,Нет,Ki,= 2.6 nM,8.59,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128067,,Нет,Ki,= 0.6 nM,9.22,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128066,,Нет,Ki,= 0.3 nM,9.52,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128064,,Нет,Ki,= 0.4 nM,9.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128063,,Нет,Ki,= 6.1 nM,8.21,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128061,,Нет,Ki,= 1.3 nM,8.89,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128059,,Нет,Ki,= 7.5 nM,8.12,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128058,,Нет,Ki,= 2.8 nM,8.55,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128075,,Нет,Ki,= 2.6 nM,8.59,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128074,,Нет,Ki,= 2.6 nM,8.59,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128073,,Нет,Ki,= 2.0 nM,8.70,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128070,,Нет,Ki,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128069,,Нет,IC50,= 3.5 nM,8.46,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218851,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218854,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218855,,Нет,IC50,= 0.69 nM,9.16,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218856,,Нет,IC50,= 0.31 nM,9.51,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218857,,Нет,IC50,= 0.76 nM,9.12,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218858,,Нет,IC50,= 6.7 nM,8.17,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218859,,Нет,IC50,= 0.65 nM,9.19,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3218861,,Нет,IC50,= 2.7 nM,8.57,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263971,,Нет,IC50,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263972,,Нет,IC50,= 7.7 nM,8.11,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263979,,Нет,IC50,= 7.9 nM,8.10,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263990,,Нет,IC50,= 3.5 nM,8.46,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263991,,Нет,IC50,= 7.1 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3263992,,Нет,IC50,= 1.3 nM,8.89,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286808,,Нет,Ki,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3128060,,Нет,Ki,= 9.0 nM,8.05,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286809,,Нет,Ki,= 2.8 nM,8.55,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286812,,Нет,Ki,= 0.85 nM,9.07,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286814,,Нет,Ki,= 0.36 nM,9.44,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286815,,Нет,Ki,= 0.22 nM,9.66,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286816,,Нет,Ki,= 0.38 nM,9.42,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286817,,Нет,Ki,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286811,,Нет,Ki,= 0.7 nM,9.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286813,,Нет,Ki,= 1.4 nM,8.85,,N/A,N/A
